doc_id,company_id,ticker,company_name,doc_type,report_period,publish_date,source_url,local_path,file_ext,language,is_core_document,parse_status,hash,source_priority,text_normalization,cninfo_detail_url,industry
0700.HK_2022_annual_report,0700.HK_tencent,0700.HK,Tencent Holdings,annual_report,FY2022,2023-04-06,https://static.cninfo.com.cn/finalpage/2023-04-06/1216346917.PDF,data/raw/financial_reports/0700.HK_tencent/2022/annual_report/0700.HK_2022_annual_report.pdf,pdf,zh-Hant,true,downloaded,eac54c79c67d8a501bc4b65ff1718223,primary,traditional_to_simplified,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=00700&announcementId=1216346917&orgId=gshk0000700&announcementTime=1680790461000,互联网服务
0700.HK_2023_annual_report,0700.HK_tencent,0700.HK,Tencent Holdings,annual_report,FY2023,2024-04-08,https://static.cninfo.com.cn/finalpage/2024-04-08/1219538672.PDF,data/raw/financial_reports/0700.HK_tencent/2023/annual_report/0700.HK_2023_annual_report.pdf,pdf,zh-Hant,true,downloaded,d392eb9994b5600a92a03aad0f3a63b0,primary,traditional_to_simplified,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=00700&announcementId=1219538672&orgId=gshk0000700&announcementTime=1712576542000,互联网服务
0700.HK_2024_annual_report,0700.HK_tencent,0700.HK,Tencent Holdings,annual_report,FY2024,2025-04-08,https://static.cninfo.com.cn/finalpage/2025-04-08/1223030008.PDF,data/raw/financial_reports/0700.HK_tencent/2024/annual_report/0700.HK_2024_annual_report.pdf,pdf,zh-Hant,true,downloaded,0706a9085e70140122364ded872455ca,primary,traditional_to_simplified,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=00700&announcementId=1223030008&orgId=gshk0000700&announcementTime=1744103410000,互联网服务
0700.HK_2024_q4_results,0700.HK_tencent,0700.HK,Tencent Holdings,quarterly_results,FY2024_Q4,,https://www.tencent.com/en-us/investors/financial-reports.html,data/raw/financial_reports/0700.HK_tencent/2024/quarterly_results/0700.HK_2024_q4_results.pdf,pdf,en,true,pending_download,,,,,互联网服务
BABA_2022_annual_report,BABA_alibaba,BABA,Alibaba Group,annual_report,FY2022,2022-07-26,https://www.sec.gov/Archives/edgar/data/1577552/000110465922082622/baba-20220331x20f.htm,data/raw/financial_reports/BABA_alibaba/2022/annual_report/BABA_2022_20f.html,html,en,true,downloaded,fc0833c07a29568442b9c1af42fd9c9e,,,,电子商务
BABA_2023_annual_report,BABA_alibaba,BABA,Alibaba Group,annual_report,FY2023,2023-07-21,https://www.sec.gov/Archives/edgar/data/1577552/000095017023033752/baba-20230331.htm,data/raw/financial_reports/BABA_alibaba/2023/annual_report/BABA_2023_20f.html,html,en,true,downloaded,594b81c2a8cff08331438647c3bd4337,,,,电子商务
BABA_2024_annual_report,BABA_alibaba,BABA,Alibaba Group,annual_report,FY2024,2024-05-23,https://www.sec.gov/Archives/edgar/data/1577552/000095017024063767/baba-20240331.htm,data/raw/financial_reports/BABA_alibaba/2024/annual_report/BABA_2024_20f.html,html,en,true,downloaded,fe29719105233f9891b0ca08c96d87c6,,,,电子商务
BABA_2024_q4_results,BABA_alibaba,BABA,Alibaba Group,quarterly_results,FY2024_Q4,,https://www.alibabagroup.com/en/ir/financialreports,data/raw/financial_reports/BABA_alibaba/2024/quarterly_results/BABA_2024_q4_results.html,html,en,true,pending_download,,,,,电子商务
BIDU_2022_annual_report,BIDU_baidu,BIDU,Baidu Inc,annual_report,FY2022,2023-03-22,https://www.sec.gov/Archives/edgar/data/1329099/000119312523076192/d362351d20f.htm,data/raw/financial_reports/BIDU_baidu/2022/annual_report/BIDU_2022_20f.html,html,en,true,downloaded,ba6ed6bd2374579ec23ec666628925db,,,,互联网搜索与AI
BIDU_2023_annual_report,BIDU_baidu,BIDU,Baidu Inc,annual_report,FY2023,2024-03-15,https://www.sec.gov/Archives/edgar/data/1329099/000119312524068527/d584913d20f.htm,data/raw/financial_reports/BIDU_baidu/2023/annual_report/BIDU_2023_20f.html,html,en,true,downloaded,60e34b608cf7dbee3d6cf0a39a61950b,,,,互联网搜索与AI
BIDU_2024_annual_report,BIDU_baidu,BIDU,Baidu Inc,annual_report,FY2024,2025-03-28,https://www.sec.gov/Archives/edgar/data/1329099/000119312525066199/d853848d20f.htm,data/raw/financial_reports/BIDU_baidu/2024/annual_report/BIDU_2024_20f.html,html,en,true,downloaded,32e58c9a53effa9a9a562678ef0de277,,,,互联网搜索与AI
BIDU_2024_q4_results,BIDU_baidu,BIDU,Baidu Inc,quarterly_results,FY2024_Q4,,https://ir.baidu.com/,data/raw/financial_reports/BIDU_baidu/2024/quarterly_results/BIDU_2024_q4_results.html,html,en,true,pending_download,,,,,互联网搜索与AI
3690.HK_2022_annual_report,3690.HK_meituan,3690.HK,Meituan,annual_report,FY2022,2023-04-24,https://static.cninfo.com.cn/finalpage/2023-04-24/1216541175.PDF,data/raw/financial_reports/3690.HK_meituan/2022/annual_report/3690.HK_2022_annual_report.pdf,pdf,zh-Hant,true,downloaded,b1ad5531da09744aca08ed137ff62ad5,primary,traditional_to_simplified,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=03690&announcementId=1216541175&orgId=9900037626&announcementTime=1682292554000,本地生活服务
